date,time_slot,item,base_price_aed,discounted_price_aed,discount_pct,morning_stock,units_sold_at_discount,remaining_stock,revenue_from_discount_aed,waste_units_avoided,discount_triggered
2024-11-01,18:00,Croissant - Plain Butter,10,8.0,20,21,3,2,24.0,3,1
2024-11-01,19:00,Croissant - Plain Butter,10,7.0,30,21,2,0,14.0,2,1
2024-11-01,18:00,Assorted Cakes,15,12.0,20,22,5,9,60.0,5,1
2024-11-01,19:00,Assorted Cakes,15,10.5,30,22,2,7,21.0,2,1
2024-11-01,20:00,Assorted Cakes,15,9.0,40,22,3,4,27.0,3,1
2024-11-01,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,0,2,0.0,0,0
2024-11-01,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,0,2,0.0,0,0
2024-11-01,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,2,0,33.6,2,1
2024-11-02,18:00,Croissant - Plain Butter,10,8.0,20,19,4,3,32.0,4,1
2024-11-02,19:00,Croissant - Plain Butter,10,7.0,30,19,0,3,0.0,0,0
2024-11-02,20:00,Croissant - Plain Butter,10,6.0,40,19,3,0,18.0,3,1
2024-11-02,18:00,Assorted Cakes,15,12.0,20,17,2,6,24.0,2,1
2024-11-02,19:00,Assorted Cakes,15,10.5,30,17,3,3,31.5,3,1
2024-11-02,20:00,Assorted Cakes,15,9.0,40,17,1,2,9.0,1,1
2024-11-02,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,4,14,89.6,4,1
2024-11-02,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,4,10,78.4,4,1
2024-11-02,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,0,10,0.0,0,0
2024-11-03,18:00,Croissant - Plain Butter,10,8.0,20,18,3,0,24.0,3,1
2024-11-03,18:00,Assorted Cakes,15,12.0,20,15,1,4,12.0,1,1
2024-11-03,19:00,Assorted Cakes,15,10.5,30,15,4,0,42.0,4,1
2024-11-03,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,20,1,5,22.4,1,1
2024-11-03,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,20,3,2,58.8,3,1
2024-11-03,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,20,1,1,16.8,1,1
2024-11-04,18:00,Croissant - Plain Butter,10,8.0,20,12,3,1,24.0,3,1
2024-11-04,19:00,Croissant - Plain Butter,10,7.0,30,12,1,0,7.0,1,1
2024-11-04,18:00,Assorted Cakes,15,12.0,20,12,2,4,24.0,2,1
2024-11-04,19:00,Assorted Cakes,15,10.5,30,12,2,2,21.0,2,1
2024-11-04,20:00,Assorted Cakes,15,9.0,40,12,1,1,9.0,1,1
2024-11-04,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,12,5,3,112.0,5,1
2024-11-04,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,12,1,2,19.6,1,1
2024-11-04,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,12,0,2,0.0,0,0
2024-11-05,18:00,Croissant - Plain Butter,10,8.0,20,16,2,9,16.0,2,1
2024-11-05,19:00,Croissant - Plain Butter,10,7.0,30,16,0,9,0.0,0,0
2024-11-05,20:00,Croissant - Plain Butter,10,6.0,40,16,0,9,0.0,0,0
2024-11-05,18:00,Assorted Cakes,15,12.0,20,13,1,4,12.0,1,1
2024-11-05,19:00,Assorted Cakes,15,10.5,30,13,0,4,0.0,0,0
2024-11-05,20:00,Assorted Cakes,15,9.0,40,13,1,3,9.0,1,1
2024-11-05,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,22,2,14,44.8,2,1
2024-11-05,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,22,3,11,58.8,3,1
2024-11-05,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,22,2,9,33.6,2,1
2024-11-06,18:00,Croissant - Plain Butter,10,8.0,20,13,1,7,8.0,1,1
2024-11-06,19:00,Croissant - Plain Butter,10,7.0,30,13,1,6,7.0,1,1
2024-11-06,20:00,Croissant - Plain Butter,10,6.0,40,13,4,2,24.0,4,1
2024-11-06,18:00,Assorted Cakes,15,12.0,20,14,5,3,60.0,5,1
2024-11-06,19:00,Assorted Cakes,15,10.5,30,14,2,1,21.0,2,1
2024-11-06,20:00,Assorted Cakes,15,9.0,40,14,1,0,9.0,1,1
2024-11-06,18:00,Chocolate Brownies w/ Ice Cream,28,22.4,20,17,2,6,44.8,2,1
2024-11-06,19:00,Chocolate Brownies w/ Ice Cream,28,19.6,30,17,5,1,98.0,5,1
2024-11-06,20:00,Chocolate Brownies w/ Ice Cream,28,16.8,40,17,1,0,16.8,1,1
2024-11-07,18:00,Croissant - Plain Butter,10,8.0,20,22,0,13,0.0,0,0
2024-11-07,19:00,Croissant - Plain Butter,10,7.0,30,22,2,11,14.0,2,1
2024-11-07,20:00,Croissant - Plain Butter,10,6.0,40,22,4,7,24.0,4,1
2024-11-07,18:00,Assorted Cakes,15,12.0,20,22,3,4,36.0,3,1
