date,day_of_week,ingredient,unit,opening_stock,received_qty,usage_qty,wastage_qty,closing_stock,par_level,reorder_point,low_stock_alert,expiry_risk_flag,daily_ingredient_cost_aed
2024-11-01,Friday,Chicken Breast,kg,25.66,0,17.92,0.62,7.12,25,10,1,0,501.76
2024-11-01,Friday,Beef Patty (Wagyu),pcs,78.4,0,87.76,0.29,0,100,30,1,0,1579.68
2024-11-01,Friday,Ribeye Steak,portions,16.02,0,12.17,0.25,3.6,15,5,1,0,669.35
2024-11-01,Friday,Beef Brisket,kg,8.08,0,6.71,0.23,1.14,8,3,1,0,301.95
2024-11-01,Friday,Salmon Fillet,portions,17.09,0,14.5,0.13,2.46,18,6,1,0,507.5
2024-11-01,Friday,Prawn (Sriracha),portions,11.73,0,9.57,0.31,1.85,12,4,1,0,210.54
2024-11-01,Friday,Eggs,pcs,341.13,0,281.32,3.54,56.27,360,100,1,0,225.06
2024-11-01,Friday,Milk,litres,31.44,0,31.38,0.49,0,40,12,1,0,188.28
2024-11-01,Friday,Espresso Beans (Lavazza),kg,4.03,0,2.57,0.07,1.39,5,1.5,1,0,244.15
2024-11-01,Friday,Mozzarella Cheese,kg,5.2,0,4.04,0.12,1.04,6,2,1,0,181.8
2024-11-01,Friday,Feta Cheese,kg,1.99,0,1.54,0.06,0.39,2,0.5,1,0,58.52
2024-11-01,Friday,Parmigiano,kg,1.42,0,0.93,0.03,0.46,1.5,0.4,0,0,51.15
2024-11-01,Friday,Avocado,pcs,41.1,0,40.39,1.79,0,50,15,1,0,161.56
2024-11-01,Friday,Brioche Buns,pcs,125.79,0,116.5,2.26,7.03,120,40,1,0,291.25
2024-11-01,Friday,Sourdough Bread,loaves,18.12,0,11.83,0.28,6.01,18,5,0,0,141.96
2024-11-01,Friday,Croissant,pcs,30.94,0,24.62,0.93,5.39,35,10,1,0,98.48
2024-11-01,Friday,French Fries (frozen),kg,25.4,0,19.73,0.34,5.33,28,8,1,0,177.57
2024-11-01,Friday,Sweet Corn,kg,3.56,0,3.12,0.05,0.39,4,1,1,0,21.84
2024-11-01,Friday,Green Peas,kg,1.55,0,0.78,0.0,0.77,1.5,0.4,0,0,6.24
2024-11-01,Friday,Lemon Juice,ml,2039.93,0,1280.13,37.36,722.44,2000,500,0,0,25.6
2024-11-01,Friday,Olive Oil,litres,1.61,0,0.82,0.0,0.79,1.5,0.4,0,0,28.7
2024-11-01,Friday,White Sugar,kg,3.24,0,1.73,0.0,1.51,3,0.8,0,0,6.92
2024-11-01,Friday,Strawberries,kg,6.65,0,4.29,0.12,2.24,7,2,0,0,94.38
2024-11-01,Friday,Banana,kg,9.61,0,6.38,0.23,3.0,10,3,1,0,51.04
2024-11-01,Friday,Acai (frozen),kg,7.3,0,6.54,0.11,0.65,8,2.5,1,0,425.1
2024-11-01,Friday,Granola,kg,2.87,0,1.68,0.01,1.18,3,0.8,0,0,30.24
2024-11-01,Friday,Chia Seeds,kg,0.91,0,0.58,0.01,0.32,1,0.2,0,0,17.4
2024-11-01,Friday,Nutella,kg,3.48,0,2.92,0.01,0.55,4,1,1,0,81.76
2024-11-01,Friday,Maple Syrup,litres,2.1,0,1.56,0.06,0.48,2,0.5,1,0,65.52
2024-11-01,Friday,Hashbrown (frozen),pcs,120.38,0,77.67,3.63,39.08,120,40,1,0,116.5
2024-11-01,Friday,Bacon Strips,pcs,75.74,0,54.68,1.38,19.68,80,25,1,0,164.04
2024-11-01,Friday,Chicken Sausage,pcs,53.49,0,33.69,0.55,19.25,50,15,0,0,134.76
2024-11-01,Friday,Chicken Hotdog,pcs,16.32,0,6.24,0.21,9.87,15,5,0,0,31.2
2024-11-01,Friday,Beef Hotdog,pcs,19.86,0,13.64,0.31,5.91,20,6,1,0,81.84
2024-11-01,Friday,Mushrooms,kg,3.29,0,2.32,0.05,0.92,4,1,1,0,41.76
2024-11-01,Friday,Carrot,pcs,7.45,0,3.14,0.12,4.19,8,3,0,0,3.14
2024-11-01,Friday,Capsicum,kg,4.8,0,2.81,0.01,1.98,5,1.5,0,0,28.1
2024-11-01,Friday,Spinach,kg,2.49,0,1.71,0.08,0.7,3,0.8,1,0,20.52
2024-11-01,Friday,Tortilla Wraps,pcs,76.74,0,47.01,1.04,28.69,70,20,0,0,56.41
2024-11-01,Friday,Pasta (various),kg,10.71,0,6.14,0.19,4.38,10,3,0,0,49.12
2024-11-01,Friday,Sriracha Sauce,litres,0.77,0,0.63,0.0,0.14,1,0.3,1,0,15.75
2024-11-01,Friday,BBQ Sauce,litres,1.0,0,0.54,0.01,0.45,1,0.2,0,0,9.72
